"column","variable","label","value_labels","class","type","n_na","range"
"29","hrv_starttime","Interoception:

	During the next task, we're going to see how fast your heart beats with this belt.  ( Show belt to participant).  It'll go lightly around your chest against your skin.  Can I put this belt on you now, or do you want your (mom/dad) to put it on?  (Wait for response). Okay, great! First I'm going to lightly wet the straps to improve the recording. 	Wet the black straps of the belt. Put belt around child’s chest, or have parent do it, making sure the black “POLAR Bluetooth” piece is in the center of the chest.  Strap should be snug against the chest and not falling down.  Check in with child and make sure they are comfortable and belt is not too tight.	The first thing we're going to do is record your heart beat while you relax and sit still for 5 minutes.  We want you to sit upright in the chair and stay quiet and calm the whole time. Can you do that for me? (Wait for response). Great, we'll start now, so you can get comfortable and relax.  I'll let you know when we're done.




	Set up w","NULL","character","character","0","c("""", ""7:05"")"
"30","intero_prac_start_target","10 Second Practice Trial 1 - Start Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0, `Skipped this trial` = 99)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(0, 99)"
"31","intero_prac_start_actual","10 Second Practice Trial 1 - Start Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", ""8"")"
"32","intero_prac_stop_target","10 Second Practice Trial 1 - Stop Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","7","c(0, 1)"
"33","intero_prac_stop_actual","10 Second Practice Trial 1 - Stop Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", ""NA"")"
"34","intero_prac_hbcount","10 Second Practice Trial 1 - Child's Reported Number of Heartbeats -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA","NULL","numeric","double","15","c(0, 30)"
"35","intero_prac_dur","10 Second Practice Trial 1 - Duration - Time","NULL","character","character","0","c("""", ""NA"")"
"36","intero_prac_starttime","10 Second Practice Trial 1 - Start Time - Time","NULL","character","character","0","c("""", ""NA"")"
"37","intero_prac2_start_target","10 Second Practice Trial 2 - Start Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0, `Skipped this trial` = 99)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","70","c(1, 1)"
"38","intero_prac2_start_actual","10 Second Practice Trial 2 - Start Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"39","intero_prac2_stop_target","10 Second Practice Trial 2 - Stop Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","70","c(1, 1)"
"40","intero_prac2_stop_actual","10 Second Practice Trial 2 - Stop Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"41","intero_prac2_hbcount","10 Second Practice Trial 2 - Child's Reported Number of Heartbeats -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA","NULL","numeric","double","71","c(0, 24)"
"42","intero_prac2_dur","10 Second Practice Trial 2 - Duration - Time","NULL","character","character","0","c("""", ""32"")"
"43","intero_prac2_starttime","10 Second Practice Trial 2 - Start Time - Time","NULL","character","character","0","c("""", ""1858"")"
"44","intero_15s_start_target","15 Second Experimental Trial 1 - Start Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0, `Skipped this trial` = 99)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(1, 99)"
"45","intero_15s_start_actual","15 Second Experimental Trial 1 - Start Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"46","intero_15s_stop_target","15 Second Experimental Trial 1 - Stop Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","13","c(1, 1)"
"47","intero_15s_stop_actual","15 Second Experimental Trial 1 - Stop Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"48","intero_15s_hbcount","15 Second Experimental Trial 1 - Child's Reported Number of Heartbeats -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA","NULL","numeric","double","16","c(0, 36)"
"49","intero_15s_dur","15 Second Experimental Trial 1 - Duration - Time","NULL","character","character","0","c("""", ""na"")"
"50","intero_15s_starttime","15 Second Experimental Trial 1 - Start Time - Time","NULL","character","character","0","c("""", ""na"")"
"51","intero_20s_start_target","20 Second Experimental Trial 1 - Start Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0, `Skipped this trial` = 99)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(0, 99)"
"52","intero_20s_start_actual","20 Second Experimental Trial 1 - Start Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", ""-"")"
"53","intero_20s_stop_target","20 Second Experimental Trial 1 - Stop Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","13","c(0, 1)"
"54","intero_20s_stop_actual","20 Second Experimental Trial 1 - Stop Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", ""33"")"
"55","intero_20s_hbcount","20 Second Experimental Trial 1 - Child's Reported Number of Heartbeats -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA","NULL","numeric","double","17","c(0, 50)"
"56","intero_20s_dur","20 Second Experimental Trial 1 - Duration - Time","NULL","character","character","0","c("""", ""na"")"
"57","intero_20s_starttime","20 Second Experimental Trial 1 - Start Time - Time","NULL","character","character","0","c("""", ""na"")"
"58","intero_18s_start_target","18 Second Experimental Trial 1 - Start Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0, `Skipped this trial` = 99)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(1, 99)"
"59","intero_18s_start_actual","18 Second Experimental Trial 1 - Start Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"60","intero_18s_stop_target","18 Second Experimental Trial 1 - Stop Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","13","c(1, 1)"
"61","intero_18s_stop_actual","18 Second Experimental Trial 1 - Stop Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"62","intero_18s_hbcount","18 Second Experimental Trial 1 - Child's Reported Number of Heartbeats -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA","NULL","numeric","double","16","c(0, 72)"
"63","intero_18s_dur","18 Second Experimental Trial 1 - Duration - Time","NULL","character","character","0","c("""", ""na"")"
"64","intero_18s_starttime","18 Second Experimental Trial 1 - Start Time - Time","NULL","character","character","0","c("""", ""na"")"
"65","intero_pulse_prac_start_target","with pulse - 10 Second Practice Trial 3 - Start Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0, `Skipped this trial` = 99)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(1, 99)"
"66","intero_pulse_prac_start_actual","with pulse - 10 Second Practice Trial 3 - Start Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"67","intero_pulse_prac_stop_target","with pulse - 10 Second Practice Trial 3 - Stop Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","10","c(1, 1)"
"68","intero_pulse_prac_stop_actual","with pulse - 10 Second Practice Trial 3 - Stop Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"69","intero_pulse_prac_hbcount","with pulse - 10 Second Practice Trial 3 - Child's Reported Number of Heartbeats -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA","NULL","numeric","double","13","c(1, 20)"
"70","intero_pulse_prac_dur","with pulse - 10 Second Practice Trial 3 - Duration - Time","NULL","character","character","0","c("""", ""38"")"
"71","intero_pulse_prac_starttime","with pulse - 10 Second Practice Trial 3 - Start Time - Time","NULL","character","character","0","c("""", ""7:18"")"
"72","intero_pulse_prac_loc","with pulse - 10 Second Practice Trial 3 - Which location did child use?","c(Neck = 1, Wrist = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","10","c(1, 2)"
"73","intero_pulse_prac2_start_target","with pulse - 10 Second Practice Trial 4 - Start Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0, `Skipped this trial` = 99)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","69","c(1, 1)"
"74","intero_pulse_prac2_start_actual","with pulse - 10 Second Practice Trial 4 - Start Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"75","intero_pulse_prac2_stop_target","with pulse - 10 Second Practice Trial 4 - Stop Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","69","c(1, 1)"
"76","intero_pulse_prac2_stop_actual","with pulse - 10 Second Practice Trial 4 - Stop Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"77","intero_pulse_prac2_hbcount","with pulse - 10 Second Practice Trial 4 - Child's Reported Number of Heartbeats","NULL","numeric","double","69","c(3, 16)"
"78","intero_pulse_prac2_dur","with pulse - 10 Second Practice Trial 4 - Duration - Time","NULL","character","character","0","c("""", ""32"")"
"79","intero_pulse_prac2_starttime","with pulse - 10 Second Practice Trial 4 - Start Time - Time","NULL","character","character","0","c("""", ""524"")"
"80","intero_pulse_prac2_loc","with pulse - 10 Second Practice Trial 4 - Which location did child use?","c(Neck = 1, Wrist = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","69","c(1, 2)"
"81","intero_pulse_15s_start_target","with pulse - 15 Second Experimental Trial 2 - Start Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0, `Skipped this trial` = 99)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(1, 99)"
"82","intero_pulse_15s_start_actual","with pulse - 15 Second Experimental Trial 2 - Start Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"83","intero_pulse_15s_stop_target","with pulse - 15 Second Experimental Trial 2 - Stop Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","10","c(1, 1)"
"84","intero_pulse_15s_stop_actual","with pulse - 15 Second Experimental Trial 2 - Stop Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"85","intero_pulse_15s_hbcount","with pulse - 15 Second Experimental Trial 2 - Child's Reported Number of Heartbeats -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA","NULL","numeric","double","12","c(4, 47)"
"86","intero_pulse_15s_dur","with pulse - 15 Second Experimental Trial 2 - Duration - Time","NULL","character","character","0","c("""", ""43"")"
"87","intero_pulse_15s_starttime","with pulse - 15 Second Experimental Trial 2 - Start Time - Time","NULL","character","character","0","c("""", ""7:19"")"
"88","intero_pulse_15s_loc","with pulse - 15 Second Experimental Trial 2 - Which location did child use?","c(Neck = 1, Wrist = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","10","c(1, 2)"
"89","intero_pulse_20s_start_target","with pulse - 20 Second Experimental Trial 2 - Start Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0, `Skipped this trial` = 99)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(0, 99)"
"90","intero_pulse_20s_start_actual","with pulse - 20 Second Experimental Trial 2 - Start Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", ""12"")"
"91","intero_pulse_20s_stop_target","with pulse - 20 Second Experimental Trial 2 - Stop Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","10","c(0, 1)"
"92","intero_pulse_20s_stop_actual","with pulse - 20 Second Experimental Trial 2 - Stop Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", ""32"")"
"93","intero_pulse_20s_hbcount","with pulse - 20 Second Experimental Trial 2 - Child's Reported Number of Heartbeats -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA","NULL","numeric","double","13","c(0, 40)"
"94","intero_pulse_20s_dur","with pulse - 20 Second Experimental Trial 2 - Duration - Time","NULL","character","character","0","c("""", ""49"")"
"95","intero_pulse_20s_starttime","with pulse - 20 Second Experimental Trial 2 - Start Time - Time","NULL","character","character","0","c("""", ""7:20"")"
"96","intero_pulse_20s_loc","with pulse - 20 Second Experimental Trial 2 - Which location did child use?","c(Neck = 1, Wrist = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","10","c(1, 2)"
"97","intero_pulse_18s_start_target","with pulse - 18 Second Experimental Trial 2 - Start Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0, `Skipped this trial` = 99)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(1, 99)"
"98","intero_pulse_18s_start_actual","with pulse - 18 Second Experimental Trial 2 - Start Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"99","intero_pulse_18s_stop_target","with pulse - 18 Second Experimental Trial 2 - Stop Time on Target","c(`Yes, on target` = 1, `No, not on target` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","10","c(1, 1)"
"100","intero_pulse_18s_stop_actual","with pulse - 18 Second Experimental Trial 2 - Stop Time Actual - If missed target, record actual time - Actual Time","NULL","character","character","0","c("""", """")"
"101","intero_pulse_18s_hbcount","with pulse - 18 Second Experimental Trial 2 - Child's Reported Number of Heartbeats -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA","NULL","numeric","double","12","c(4, 40)"
"102","intero_pulse_18s_dur","with pulse - 18 Second Experimental Trial 2 - Duration - Time","NULL","character","character","0","c("""", ""45"")"
"103","intero_pulse_18s_starttime","with pulse - 18 Second Experimental Trial 2 - Start Time - Time","NULL","character","character","0","c("""", ""7:22"")"
"104","intero_pulse_18s_loc","with pulse - 18 Second Experimental Trial 2 - Which location did child use?","c(Neck = 1, Wrist = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","10","c(1, 2)"
"105","intero_prac_notes","10 Second Practice Trial 1 - Additional Notes","NULL","character","character","0","c("""", ""understands task, just can't feel it."")"
"106","intero_prac2_notes","10 Second Practice Trial 2 - Additional Notes","NULL","character","character","0","c("""", ""Was not able to hear his heart"")"
"107","intero_15s_notes","15 Second Experimental Trial 1 - Additional Notes","NULL","character","character","0","c("""", ""Seemed more ready for this trial. Let child know to count heartbeat in 15 seconds."")"
"108","intero_20s_notes","20 Second Experimental Trial 1 - Additional Notes","NULL","character","character","0","c("""", ""Seemed ready to count heartbeats. Let child know to count heartbeat for 20 seconds."")"
"109","intero_18s_notes","18 Second Experimental Trial 1 - Additional Notes","NULL","character","character","0","c("""", ""unable to feel any beats during any sections"")"
"110","intero_pulse_prac_notes","with pulse - 10 Second Practice Trial 3 - Additional Notes","NULL","character","character","0","c("""", ""used chest"")"
"111","intero_pulse_prac2_notes","with pulse - 10 Second Practice Trial 4 - Additional Notes","NULL","character","character","0","c("""", ""helped him find pulse on wrist before this trial"")"
"112","intero_pulse_15s_notes","with pulse - 15 Second Experimental Trial 2 - Additional Notes","NULL","character","character","0","c("""", ""used chest"")"
"113","intero_pulse_20s_notes","with pulse - 20 Second Experimental Trial 1 - Additional Notes","NULL","character","character","0","c("""", ""used chest"")"
"114","intero_pulse_18s_notes","with pulse - 18 Second Experimental Trial 2 - Additional Notes","NULL","character","character","0","c("""", ""used chest"")"
