"column","variable","label","value_labels","class","type","n_na","range"
"27","v2_date","start_date from qualtrics survey meta-data converted to format yyyy-mm-dd in R","NULL","Date","double","0","c(17631, 18970)"
"28","rcmas1","RCMAS - I have trouble making up my mind","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"29","rcmas2","RCMAS - I get nervous when things do not go the right way for me","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"30","rcmas3","RCMAS - Others seem to do things better than I can","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"31","rcmas4","RCMAS - I like everyone I know","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"32","rcmas5","RCMAS - Often I have trouble getting my breath","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"33","rcmas6","RCMAS - I worry a lot of the time","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"34","rcmas7","RCMAS - I am afraid of a lot of things","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"35","rcmas8","RCMAS - I am always kind","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"36","rcmas9","RCMAS - I get mad easily","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"37","rcmas10","RCMAS - I worry about what my parents will say to me","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"38","rcmas11","RCMAS - I feel that others do not like the way I do things","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"39","rcmas12","RCMAS - I always have good manners","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"40","rcmas13","RCMAS - It is hard for me to get to sleep at night","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"41","rcmas14","RCMAS - I worry about what other people think about me","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"42","rcmas15","RCMAS - I feel alone even when there are people with me","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"43","rcmas16","RCMAS - I am always good","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"44","rcmas17","RCMAS - Often I feel sick in the stomach","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"45","rcmas18","RCMAS - My feelings get hurt easily","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"46","rcmas19","RCMAS - My hands feel sweaty","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"47","rcmas20","RCMAS - I am always nice to everyone","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"48","rcmas21","RCMAS - I am tired a lot","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"49","rcmas22","RCMAS - I worry about what is going to happen","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"50","rcmas23","RCMAS - Other children are happier than I am","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"51","rcmas24","RCMAS - I tell the truth every single time","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"52","rcmas25","RCMAS - I have bad dreams","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"53","rcmas26","RCMAS - My feelings get hurt easily when I am fussed at","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"54","rcmas27","RCMAS - I feel someone will tell me I do things the wrong way","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"55","rcmas28","RCMAS - I never get angry","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"56","rcmas29","RCMAS - I wake up scared some of the time","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"57","rcmas30","RCMAS - I worry when I go to bed at night","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"58","rcmas31","RCMAS - It is hard for me to keep my mind on my schoolwork","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"59","rcmas32","RCMAS - I never say things that I shouldn't","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"60","rcmas33","RCMAS - I wriggle in my seat a lot","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"61","rcmas34","RCMAS - I am nervous","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"62","rcmas35","RCMAS - A lot of people are against me","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"63","rcmas36","RCMAS - I never lie","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"64","rcmas37","RCMAS - I often worry about something bad happening to me","c(Yes = 1, No = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"65","rcmas_phys","RCMAS Physiological Manifestation Score","NULL","numeric","double","8","c(0, 8)"
"66","rcmas_worry","RCMAS Worrying and Oversensitivity Score","NULL","numeric","double","8","c(0, 10)"
"67","rcmas_concentration","RCMAS Concentration Total Score","NULL","numeric","double","8","c(0, 9)"
"68","rcmas_total","RCMAS Total Score","NULL","numeric","double","8","c(0, 27)"
"69","rcmas_total_normcat","RCMAS Total Category Score Based on Grade Norms - Clinical Interest = score > 1SD above mean for grade; Reynolds & Richmond (1978)","c(Typical = 0, `Clinical Interest` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","13","c(0, 1)"
"70","rcmas_total_cutcat","RCMAS Total Category Score Based on Grade Norms - Clinical Significant = score > 19; Stallard et al., (2001)","c(Typical = 0, `Clinically Significant` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 1)"
"71","rcmas_sd1","RCMAS Social Desirability Score 1","NULL","numeric","double","8","c(0, 6)"
"72","rcmas_sd2","RCMAS Social Desirability Score 2","NULL","numeric","double","8","c(0, 3)"
"73","rcmas_sd_total","RCMAS Social Desirability Total Score","NULL","numeric","double","8","c(0, 9)"
"74","rcmas_sd_total_normcat","RCMAS Social Desirability Category Based on Grade Norms - Elevated = score > 1SD above mean for grade; Reynolds & Richmond (1978)","c(Typical = 0, Elevated = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","13","c(0, 1)"
"75","cbq1","Parent Reported: CBQ - Seems always in a big hurry to get from one place to another. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 6)"
"76","cbq2","Parent Reported: CBQ - Gets angry when told s/he has to go to bed. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"77","cbq3","Parent Reported: CBQ - Is not very bothered by pain. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 7)"
"78","cbq4","Parent Reported: CBQ - Likes going down high slides or other adventurous activities. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"79","cbq5","Parent Reported: CBQ - Notices the smoothness or roughness of objects s/he touches. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(2, 7)"
"80","cbq6","Parent Reported: CBQ - Gets so worked up before an exciting event that s/he has trouble sitting still. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"81","cbq7","Parent Reported: CBQ - Usually rushes into an activity without thinking about it. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"82","cbq8","Parent Reported: CBQ - Cries sadly when a favorite toy gets lost or broken. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(-99, 7)"
"83","cbq9","Parent Reported: CBQ - Becomes quite uncomfortable when cold and/or wet. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"84","cbq10","Parent Reported: CBQ - Likes to play so wild and recklessly that s/he might get hurt. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"85","cbq11","Parent Reported: CBQ - Seems to be at ease with almost any person. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 7)"
"86","cbq12","Parent Reported: CBQ - Tends to run rather than walk from room to room. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"87","cbq13","Parent Reported: CBQ - Notices it when parents are wearing new clothing. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(2, 7)"
"88","cbq14","Parent Reported: CBQ - Has temper tantrums when s/he doesn't get what s/he wants. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"89","cbq15","Parent Reported: CBQ - Gets very enthusiastic about the things s/he does re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(3, 7)"
"90","cbq16","Parent Reported: CBQ - When practicing an activity, has a hard time keeping her/his mind on it. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 7)"
"91","cbq17","Parent Reported: CBQ - Is afraid of burglars or the ""boogie man."" re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"92","cbq18","Parent Reported: CBQ - When outside, often sits quietly. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(2, 7)"
"93","cbq19","Parent Reported: CBQ - Enjoys funny stories but usually doesn’t laugh at them. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 7)"
"94","cbq20","Parent Reported: CBQ - Tends to become sad if the family plans don't work out. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(-99, 7)"
"95","cbq21","Parent Reported: CBQ - Will move from one task to another without completing any of them. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 7)"
"96","cbq22","Parent Reported: CBQ - Moves about actively (runs, climbs, jumps) when playing in the house. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(-99, 7)"
"97","cbq23","Parent Reported: CBQ - Is afraid of loud noises. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"98","cbq24","Parent Reported: CBQ - Seems to listen to even quiet sounds. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"99","cbq25","Parent Reported: CBQ - Has a hard time settling down after an exciting activity. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 7)"
"100","cbq26","Parent Reported: CBQ - Enjoys taking warm baths. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"101","cbq27","Parent Reported: CBQ - Seems to feel depressed when unable to accomplish some task. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"102","cbq28","Parent Reported: CBQ - Often rushes into new situations. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"103","cbq29","Parent Reported: CBQ - Is quite upset by a little cut or bruise. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"104","cbq30","Parent Reported: CBQ - Gets quite frustrated when prevented from doing something s/he wants to do. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(-99, 7)"
"105","cbq31","Parent Reported: CBQ - Becomes upset when loved relatives or friends are getting ready to leave following a visit. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(1, 7)"
"106","cbq32","Parent Reported: CBQ - Comments when a parent has changed his/her appearance. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(-99, 7)"
"107","cbq33","Parent Reported: CBQ - Enjoys activities such as being chased, spun around by the arms, etc. re-leveled in R to NA value to -99 as it reflects not knowing the child's reaction - see CBQ instructions","c(`NA or Don't want to answer` = -99, `Extremely Untrue` = 1, `Quite Untrue` = 2, `Sightly Untrue` = 3, `Neither True nor False` = 4, `Slightly True` = 5, `Quite True` = 6, `Extremely True` = 7)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(2, 7)"
