"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
dexa_check_date2,dexa,,text,Date:,,,date_mdy,,,,[dexa_check_name2]<>'',y,,,,,
dexa_error2,dexa,,yesno,"Were there errors in the [dexa_visit:checked] DEXA Qulatrics database?",,,,,,,"[dexa_check_name2]<>'' AND [dexa_error]='1' AND [dexa_error_cor]='1'",,,,,,
dexa_error_cor2,dexa,,yesno,"Errors for the [dexa_visit:checked] DEXA Qulatrics database were corrected?",,,,,,,[dexa_error2]='1',y,,,,,
dexa_chw_error2,dexa,,yesno,"Were there child height and weight errors in the [dexa_visit:checked] Child Qulatrics database?",,,,,,,"[dexa_check_name2]<>'' AND [dexa_chw_error]='1' AND [dexa_chw_error_cor]='1'",,,,,,
dexa_chw_error_cor2,dexa,,yesno,"Errors for the child height and weight were corrected in [dexa_visit:checked] Child Qulatrics database?",,,,,,,[dexa_chw_error2]='1',y,,,,,
dexa_phw_error2,dexa,,yesno,"Were there parent height and weight errors in the [dexa_visit:checked] Parent Qulatrics database?",,,,,,,"[dexa_check_name2]<>'' AND [dexa_phw_error]='1' AND [dexa_phw_error_cor]='1'",,,,,,
dexa_phw_error_cor2,dexa,,yesno,"Errors for the parent height and weight were corrected in [dexa_visit:checked] Parent Qulatrics database?",,,,,,,[dexa_phw_error2]='1',y,,,,,
dexa_error_notes2,dexa,,notes,"DEXA and height/weight entry errors. Please list the intake values that were changed/updated.

**Once done, change status to incomplete so others know that these data need to be checked again.**",,,,,,,"[dexa_error2]='1' OR [dexa_chw_error2]='1' OR [dexa_phw_error2]='1'",y,,,,,
dexa_unfinished_msg2,dexa,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([dexa_error2]='1' AND [dexa_error_cor2]='0') OR ([dexa_chw_error2]='1' AND [dexa_chw_error_cor2]='0') OR ([dexa_phw_error2]='1' AND [dexa_phw_error_cor2]='0') OR ([dexa_error_notes2]='' AND ([dexa_error2]='1' OR [dexa_chw_error2]='1' OR [dexa_phw_error2]='1'))",,,,,,
dexa_check_name3,dexa,,text,"Data Check 3

Meal intake values checked by:",,,,,,,"([dexa_error2]='1' OR [dexa_chw_error2]='1' OR [dexa_phw_error2]='1') AND (([dexa_error2]='1' AND [dexa_error_cor2]<>'0') AND ([dexa_chw_error2]='1' AND [dexa_chw_error_cor2]<>'0') AND ([dexa_phw_error2]='1' AND [dexa_phw_error_cor2]<>'0') OR [dexa_error_notes2]='')",y,,,,,
dexa_check_date3,dexa,,text,Date:,,,date_mdy,,,,[dexa_check_name3]<>'',y,,,,,
dexa_error3,dexa,,yesno,"Were there errors in the [dexa_visit:checked] DEXA Qulatrics database?",,,,,,,"[dexa_check_name3]<>'' AND [dexa_error2]='1' AND [dexa_error_cor2]='1'",y,,,,,
dexa_error_cor3,dexa,,yesno,"Errors for the [dexa_visit:checked] DEXA Qulatrics database were corrected?",,,,,,,[dexa_error3]='1',y,,,,,
dexa_chw_error3,dexa,,yesno,"Were there child height and weight errors in the [dexa_visit:checked] Child Qulatrics database?",,,,,,,"[dexa_check_name3]<>'' AND [dexa_chw_error2]='1' AND [dexa_chw_error_cor2]='1'",y,,,,,
dexa_chw_error_cor3,dexa,,yesno,"Errors for the child height and weight were corrected in [dexa_visit:checked] Child Qulatrics database?",,,,,,,[dexa_chw_error3]='1',y,,,,,
dexa_phw_error3,dexa,,yesno,"Were there parent height and weight errors in the [dexa_visit:checked] Parent Qulatrics database?",,,,,,,"[dexa_check_name3]<>'' AND [dexa_phw_error2]='1' AND [dexa_phw_error_cor2]='1'",y,,,,,
dexa_phw_error_cor3,dexa,,yesno,"Errors for the parent height and weight were corrected in [dexa_visit:checked] Parent Qulatrics database?",,,,,,,[dexa_phw_error3]='1',y,,,,,
dexa_error_notes3,dexa,,notes,"DEXA and height/weight entry errors. Please list the intake values that were changed/updated.

**Once done, change status to incomplete so others know that these data need to be checked again.**",,,,,,,"[dexa_error3]='1' OR [dexa_chw_error3]='1' OR [dexa_phw_error3]='1'",y,,,,,
dexa_unfinished_msg3,dexa,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([dexa_error3]='1' AND [dexa_error_cor3]='0') OR ([dexa_chw_error3]='1' AND [dexa_chw_error_cor3]='0') OR ([dexa_phw_error3]='1' AND [dexa_phw_error_cor3]='0') OR ([dexa_error_notes3]='' AND ([dexa_error3]='1' OR [dexa_chw_error3]='1' OR [dexa_phw_error3]='1'))",,,,,,
dexa_check_name4,dexa,,text,"Data Check 4

Meal intake values checked by:",,,,,,,"([dexa_error3]='1' OR [dexa_chw_error3]='1' OR [dexa_phw_error3]='1') AND (([dexa_error3]='1' AND [dexa_error_cor3]<>'0') AND ([dexa_chw_error3]='1' AND [dexa_chw_error_cor3]<>'0') AND ([dexa_phw_error3]='1' AND [dexa_phw_error_cor3]<>'0') OR [dexa_error_notes3]='')",y,,,,,
dexa_check_date4,dexa,,text,Date:,,,date_mdy,,,,[dexa_check_name4]<>'',y,,,,,
dexa_error4,dexa,,yesno,"Were there errors in the [dexa_visit:checked] DEXA Qulatrics database?",,,,,,,"[dexa_check_name4]<>'' AND [dexa_error3]='1' AND [dexa_error_cor3]='1'",y,,,,,
dexa_error_cor4,dexa,,yesno,"Errors for the [dexa_visit:checked] DEXA Qulatrics database were corrected?",,,,,,,[dexa_error4]='1',y,,,,,
dexa_chw_error4,dexa,,yesno,"Were there child height and weight errors in the [dexa_visit:checked] Child Qulatrics database?",,,,,,,"[dexa_check_name4]<>'' AND [dexa_chw_error3]='1' AND [dexa_chw_error_cor3]='1'",y,,,,,
dexa_chw_error_cor4,dexa,,yesno,"Errors for the child height and weight were corrected in [dexa_visit:checked] Child Qulatrics databases?",,,,,,,[dexa_chw_error4]='1',y,,,,,
dexa_phw_error4,dexa,,yesno,"Were there parent height and weight errors in the [dexa_visit:checked] Parent Qulatrics database?",,,,,,,"[dexa_check_name4]<>'' AND [dexa_phw_error3]='1' AND [dexa_phw_error_cor3]='1'",y,,,,,
dexa_phw_error_cor4,dexa,,yesno,"Errors for the parent height and weight were corrected in [dexa_visit:checked] Parent Qulatrics databases?",,,,,,,[dexa_phw_error4]='1',y,,,,,
dexa_error_notes4,dexa,,notes,"DEXA and height/weight entry errors. Please list the intake values that were changed/updated.
",,,,,,,"[dexa_error4]='1' OR [dexa_chw_error4]='1' OR [dexa_phw_error4]='1'",y,,,,,
dexa_unfinished_msg4,dexa,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([dexa_error4]='1' AND [dexa_error_cor4]='0') OR ([dexa_chw_error4]='1' AND [dexa_chw_error_cor4]='0') OR ([dexa_phw_error4]='1' AND [dexa_phw_error_cor4]='0') OR ([dexa_error_notes4]='' AND ([dexa_error4]='1' OR [dexa_chw_error4]='1' OR [dexa_phw_error4]='1'))",,,,,,
dexa_errors_email,dexa,,radio,"Email the Lead Data RA or graduate student for final checks since agreement has not yet been reached.

Include the DEXA visit: [intake_visit:checked] [intake_meal:checked] 

**Once email has been sent, mark form status as ""unverified"" so Lead RA and/or graduate student knows to check form**","0, Email not Sent | 1, Email Sent",,,,,,"([dexa_error4]='1' OR [dexa_chw_error4]='1' OR [dexa_phw_error4]='1') AND (([dexa_error4]='1' AND [dexa_error_cor4]<>'0') AND ([dexa_chw_error4]='1' AND [dexa_chw_error_cor4]<>'0') AND ([dexa_phw_error4]='1' AND [dexa_phw_error_cor4]<>'0') OR [dexa_error_notes4]='')",y,,,,,
dexa_resolve,dexa,,yesno,"For Lead RA or graduate student ONLY:

Have DEXA data issues been resolved?

**if yes, mark form status as complete**",,,,,,,[dexa_errors_email]='1',y,,,,,
dexa_form_complete,dexa,,yesno,"All Qualtrics data was correct (no errors found).

Has form status been changed to ""complete""?",,,,,,,"([dexa_error]='0' OR [dexa_error2]='0' OR [dexa_error3]='0' OR [dexa_error4]='0') AND ([dexa_chw_error]='0' OR [dexa_chw_error2]='0' OR [dexa_chw_error3]='0' OR [dexa_chw_error4]='0') AND ([dexa_phw_error]='0' OR [dexa_phw_error2]='0' OR [dexa_phw_error3]='0' OR [dexa_phw_error4]='0')",y,,,,,
intake_meal,intake,,radio,Meal,"0, Standard Meal (visits 1 or 7) | 1, Portion Size Meal (visits 2-5) | 2, Visit 6 Snack",,,,,,,,,,,,
intake_meal_done,intake,,yesno,"Was meal completed?",,,,,,,,,,,,,
intake_visit,intake,,radio,"[intake_meal:checked] Completed at Visit:","0, Visit 1 | 1, Visit 2 | 2, Visit 3 | 3, Visit 4 | 4, Visit 5 | 5, Visit 6 | 6, Visit 7",,,,,,[intake_meal_done]='1',y,,,,,
intake_visit_age,intake,,calc,"Age at [intake_meal:checked] Meal","if([intake_visit] = '0', [baseline_arm_1][v1_age], if([intake_visit] = '1', [baseline_arm_1][v2_age], if([intake_visit] = '2', [baseline_arm_1][v3_age], if([intake_visit] = '3', [baseline_arm_1][v4_age], if([intake_visit] = '4', [baseline_arm_1][v5_age], if([intake_visit] = '5', [baseline_arm_1][v6_age], if([intake_visit] = '6', [baseline_arm_1][v7_age], 'NaN')))))))",,,,,,[intake_meal_done]='1',,,,,,
intake_measure,intake,,yesno,"Was amount served/eaten measured at [intake_meal] for [intake_visit]?",,,,,,,[intake_meal_done]='1',,,,,,
intake_entered,intake,,yesno,"Meal intake values have been entered in Qualtrics",,,,,,,[intake_measure]='1',y,,,,,
intake_check_name,intake,,text,"Data Check 1

Meal intake values checked by:",,,,,,,[intake_entered]='1',y,,,,,
intake_check_date,intake,,text,Date:,,,date_mdy,,,,[intake_entered]='1',y,,,,,
intake_errors,intake,,yesno,"Were there intake value errors for the [intake_meal:checked] in the [intake_visit:checked] Child Qulatrics database?

Examples of common errors include: 
-wrong value entered
-amount consumed was calculated incorrectly
-missing data was not indicated using 'NA'. All missing data MUST be marked with 'NA'.
-typos such as a letter or multiple periods/decimal points
-commas used instead of periods for the decimal point",,,,,,,[intake_entered]='1',y,,,,,
intake_errors_cor,intake,,yesno,"Intake errors for the [intake_meal:checked] were corrected in the [intake_visit:checked] Child Qualtrics Database:",,,,,,,[intake_errors]='1',y,,,,,
intake_errors2,intake,,yesno,"Were there intake value errors for the [intake_meal:checked] in the [intake_visit:checked] Child Qulatrics database?

Examples of common errors include: 
-wrong value entered
-amount consumed was calculated incorrectly
-missing data was not indicated using 'NA'. All missing data MUST be marked with 'NA'.
-typos such as a letter or multiple periods/decimal points
-commas used instead of periods for the decimal point",,,,,,,"[intake_check_name2]<>'' AND [intake_errors]='1'",y,,,,,
intake_error_notes,intake,,notes,"Meal intake errors. Please list the intake items that were changed/updated.

**Once done, change status to ""incomplete"" so others know that these data need to be checked again.**",,,,,,,[intake_errors]='1',y,,,,,
intake_unfinished_msg,intake,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([intake_errors]='1' AND [intake_errors_cor]='0') OR ([intake_errors]='1' AND [intake_error_notes]='')",,,,,,
intake_check_name2,intake,,text,"Data Check 2

Meal intake values checked by:",,,,,,,"[intake_errors]='1' AND [intake_errors_cor]='1' AND [intake_error_notes]<>''",y,,,,,
intake_check_date2,intake,,text,Date:,,,date_mdy,,,,[intake_check_name2]<>'',y,,,,,
intake_errors_cor2,intake,,yesno,"Intake errors for the [intake_meal:checked] were corrected in the [intake_visit:checked] Child Qualtrics Database:",,,,,,,[intake_errors2]='1',y,,,,,
intake_error_notes_2,intake,,notes,"Meal intake errors. Please list the intake items that were changed/updated.

**Once done, change status to ""incomplete"" so others know that these data need to be checked again.**",,,,,,,[intake_errors2]='1',y,,,,,
intake_unfinished_msg2,intake,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([intake_errors2]='1' AND [intake_errors_cor2]='0') OR ([intake_errors2]='1' AND [intake_error_notes2]='')",,,,,,
intake_check_name3,intake,,text,"Data Check 3

Meal intake values checked by:",,,,,,,"[intake_errors2]='1' AND [intake_errors_cor2]='1' AND [intake_error_notes2]<>''",y,,,,,
intake_check_date3,intake,,text,Date:,,,date_mdy,,,,[intake_check_name3]<>'',y,,,,,
intake_errors3,intake,,yesno,"Were there intake value errors for the [intake_meal:checked] in the [intake_visit:checked] Child Qulatrics database?

Examples of common errors include: 
-wrong value entered
-amount consumed was calculated incorrectly
-missing data was not indicated using 'NA'. All missing data MUST be marked with 'NA'.
-typos such as a letter or multiple periods/decimal points
-commas used instead of periods for the decimal point",,,,,,,"[intake_check_name3]<>'' AND [intake_errors2]='1'",y,,,,,
intake_errors_cor3,intake,,yesno,"Intake errors for the [intake_meal:checked] were corrected in the [intake_visit:checked] Child Qualtrics Database:",,,,,,,[intake_errors2]='1',y,,,,,
intake_error_notes3,intake,,notes,"Meal intake errors. Please list the intake items that were changed/updated.

**Once done, change status to ""incomplete"" so others know that these data need to be checked again.**",,,,,,,[intake_errors2]='1',y,,,,,
intake_unfinished_msg3,intake,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([intake_errors3]='1' AND [intake_errors_cor3]='0') OR ([intake_errors3]='1' AND [intake_error_notes3]='')",,,,,,
intake_check_name4,intake,,text,"Data Check 4

Meal intake values checked by:",,,,,,,"[intake_errors3]='1' AND [intake_errors_cor3]='1' AND [intake_error_notes3]<>''",y,,,,,
intake_check_date4,intake,,text,Date:,,,date_mdy,,,,[intake_check_name4]<>'',y,,,,,
intake_errors4,intake,,yesno,"Were there intake value errors for the [intake_meal:checked] in the [intake_visit:checked] Child Qulatrics database?

Examples of common errors include: 
-wrong value entered
-amount consumed was calculated incorrectly
-missing data was not indicated using 'NA'. All missing data MUST be marked with 'NA'.
-typos such as a letter or multiple periods/decimal points
-commas used instead of periods for the decimal point",,,,,,,"[intake_check_name4]<>'' AND [intake_errors3]='1'",y,,,,,
intake_errors_cor4,intake,,yesno,"Intake errors for the [intake_meal:checked] were corrected in the [intake_visit:checked] Child Qualtrics Database:",,,,,,,[intake_errors4]='1',y,,,,,
intake_error_notes4,intake,,notes,"Meal intake errors. Please list the intake items that were changed/updated.

**Once done, change status to ""incomplete"" so others know that these data need to be checked again.**
",,,,,,,[intake_errors4]='1',y,,,,,
intake_unfinished_msg4,intake,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([intake_errors4]='1' AND [intake_errors_cor4]='0') OR ([intake_errors4]='1' AND [intake_error_notes4]='')",,,,,,
intake_errors_email,intake,,radio,"Email the Lead Data RA or graduate student for final checks since agreement has not yet been reached.

Include the visit and meal: [intake_visit:checked] [intake_meal:checked] 

**Once email has been sent, mark form status as ""unverified"" so Lead RA and/or graduate student knows to check form**","0, Email not Sent | 1, Email Sent",,,,,,"[intake_errors4]='1' AND [intake_errors_cor4]='1' AND [intake_error_notes4]<>''",y,,,,,
intake_resolve,intake,,yesno,"For Lead RA or graduate student ONLY:

Have intake data issues been resolved?

**if yes, mark form status as complete**",,,,,,,[intake_errors_email]='1',y,,,,,
intake_form_complete,intake,,yesno,"All Qualtrics data was correct (no errors found).

Has form status been changed to ""complete""?",,,,,,,"[intake_errors]='0' OR [intake_errors2]='0' OR [intake_errors3]='0' OR [intake_errors4]='0'",y,,,,,
eah_visit,eah_intake_2_ab0a,,radio,"EAH Completed at Visit:","0, Visit 1 | 1, Visit 7",,,,,,,y,,,,,
eah_exist,eah_intake_2_ab0a,,yesno,"Was EAH completed for [eah_visit]?",,,,,,,,,,,,,
eah_visit_age,eah_intake_2_ab0a,,calc,"Age at [eah_visit:checked]","if([eah_visit] = '0', [baseline_arm_1][v1_age], [baseline_arm_1][v7_age])",,,,,,[eah_exist]='1',,,,,,
eah_entered,eah_intake_2_ab0a,,yesno,"EAH intake values have been entered in [eah_visit:checked] Qualtrics Database",,,,,,,[eah_exist]='1',y,,,,,
eah_check_name,eah_intake_2_ab0a,,text,"Data Check 1

EAH intake values checked by:",,,,,,,[eah_entered]='1',y,,,,,
eah_check_date,eah_intake_2_ab0a,,text,Date:,,,date_mdy,,,,[eah_entered]='1',y,,,,,
eah_errors,eah_intake_2_ab0a,,yesno,"Were there EAH intake errors for [eah_visit:checked] Qualtrics Database?",,,,,,,[eah_entered]='1',y,,,,,
eah_errors_cor,eah_intake_2_ab0a,,yesno,"EAH intake errors were corrected in the [eah_visit:checked] Child Qualtrics Database",,,,,,,[eah_errors]='1',y,,,,,
eah_error_notes,eah_intake_2_ab0a,,notes,"EAH intake errors. Please list the intake values that were changed/updated.

**Once done, change status to ""incomplete"" so others know that these data need to be checked again.**",,,,,,,[eah_errors]='1',y,,,,,
eah_unfinished_msg,eah_intake_2_ab0a,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([eah_errors]='1' AND [eah_errors_cor]='0') OR ([eah_errors]='1' AND [eah_error_notes]='')",,,,,,
